starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 19 18:00:38 2018	1529402438	6	22	28	22
Tue Jun 19 18:00:38 2018	1529402438	1	27	28	25
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	27
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	28
Tue Jun 19 18:00:38 2018	1529402438	1	27	28	24
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	28
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	24
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	27
Tue Jun 19 18:00:39 2018	1529402439	0	28	28	27
Tue Jun 19 18:00:38 2018	1529402438	1	28	28	25
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	27
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	28
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	27
Tue Jun 19 18:00:39 2018	1529402439	0	28	28	28
Tue Jun 19 18:00:38 2018	1529402438	1	27	28	27
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	27
Tue Jun 19 18:00:39 2018	1529402439	0	28	28	28
Tue Jun 19 18:00:39 2018	1529402439	0	28	28	27
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	28
Tue Jun 19 18:00:39 2018	1529402439	0	28	28	26
Tue Jun 19 18:00:38 2018	1529402438	6	23	28	22
Tue Jun 19 18:00:38 2018	1529402438	2	26	28	26
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	28
Tue Jun 19 18:00:39 2018	1529402439	0	28	28	26
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	27
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	25
Tue Jun 19 18:00:38 2018	1529402438	2	26	28	26
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	28
Tue Jun 19 18:00:39 2018	1529402439	0	28	28	28
Tue Jun 19 18:00:38 2018	1529402438	0	28	29	27
Tue Jun 19 18:00:38 2018	1529402438	0	28	29	28
Tue Jun 19 18:00:39 2018	1529402439	0	28	29	28
Tue Jun 19 18:00:38 2018	1529402438	1	28	29	28
Tue Jun 19 18:00:39 2018	1529402439	0	28	29	28
Tue Jun 19 18:00:38 2018	1529402438	0	28	29	28
Tue Jun 19 18:00:38 2018	1529402438	0	28	29	28
Tue Jun 19 18:00:38 2018	1529402438	0	28	29	28
Tue Jun 19 18:00:38 2018	1529402438	2	26	29	26
Tue Jun 19 18:00:38 2018	1529402438	0	28	29	28
Tue Jun 19 18:00:38 2018	1529402438	0	28	29	28
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	26
Tue Jun 19 18:00:39 2018	1529402439	1	28	29	25
Tue Jun 19 18:00:38 2018	1529402438	3	26	29	26
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	26
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	28
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	27
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	26
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	29
Tue Jun 19 18:00:38 2018	1529402438	3	26	29	26
Tue Jun 19 18:00:38 2018	1529402438	5	24	29	23
