starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 19 18:21:56 2018	1529403716	0	35	35	32
Tue Jun 19 18:21:56 2018	1529403716	1	34	35	33
Tue Jun 19 18:21:56 2018	1529403716	0	35	35	32
Tue Jun 19 18:21:56 2018	1529403716	4	31	35	30
Tue Jun 19 18:21:56 2018	1529403716	0	35	35	34
Tue Jun 19 18:21:56 2018	1529403716	1	34	35	34
Tue Jun 19 18:21:57 2018	1529403717	0	35	35	31
Tue Jun 19 18:21:56 2018	1529403716	1	35	35	33
Tue Jun 19 18:21:56 2018	1529403716	1	35	35	34
Tue Jun 19 18:21:56 2018	1529403716	1	34	35	31
Tue Jun 19 18:21:56 2018	1529403716	1	34	35	31
Tue Jun 19 18:21:56 2018	1529403716	0	35	35	34
Tue Jun 19 18:21:56 2018	1529403716	0	35	35	35
Tue Jun 19 18:21:57 2018	1529403717	2	33	35	33
Tue Jun 19 18:21:57 2018	1529403717	0	35	35	35
Tue Jun 19 18:21:56 2018	1529403716	1	35	35	35
Tue Jun 19 18:21:57 2018	1529403717	2	34	36	27
Tue Jun 19 18:21:57 2018	1529403717	2	34	36	33
Tue Jun 19 18:21:56 2018	1529403716	5	31	36	30
Tue Jun 19 18:21:57 2018	1529403717	2	34	36	32
Tue Jun 19 18:21:56 2018	1529403716	3	33	36	28
Tue Jun 19 18:21:56 2018	1529403716	0	35	36	32
Tue Jun 19 18:21:56 2018	1529403716	4	32	36	32
Tue Jun 19 18:21:56 2018	1529403716	0	35	36	32
Tue Jun 19 18:21:57 2018	1529403717	2	34	36	33
Tue Jun 19 18:21:57 2018	1529403717	0	35	36	34
Tue Jun 19 18:21:56 2018	1529403716	4	31	36	31
